"HolderAddress","Balance","PendingBalanceUpdate"
"0x9ddc726fce55a7d6c2a985a7944eab88ae343f50","0.0531457209402322","No"
"0xa0c048eb64cf32559a49a41fa7cc428357897563","3.99860195062017","No"
"0xa0e373d0b2f870f15f5119c1c17555cf6ff93e50","0.342726898746967","No"
"0xa10335881302436c75e9c77920846c721c7fac2b","0.0156012401031092","No"
"0xa18040cf6f97b4ffa8ea3d81f0788fed88bfc988","0.046716804632321","No"
"0xa2812c8ced2d8dd94f7473af3f2dce48029c854e","0.81720933107154","No"
"0xa291017d892e62b5ed74cea8d38d9cb00a583343","0.278214315006393","No"
"0xa2f57cc46a5268f16a0224a81ede7154218ce890","0.000226152003537868","No"
"0xa4d4ad6b67931ca96c97cf9753bf498e1d0ae635","0.00907146741849107","No"
"0xa586cbf75fb4b8987bab7d24be4545fcaa0e757c","3.27858932942245","No"
"0xa5b65d4a68c1c71aae3910199f4ab266f726afbf","0.00833183078807498","No"
"0xa7499aa6464c078eeb940da2fc95c6acd010c3cc","64.5773430936584","No"
"0xa74e40bfaca14a200c345ebbb32563b82edcd7fd","0.105160681861013","No"
"0xa8d8a88f456161131820e43262552de0ae85be75","0.349063835269204","No"
"0xafd680fb78648298d13422da8eb29199e72368ec","6.8237965979333E-05","No"
"0xb082ddfd74748b763f52f04558e5f814a56de67a","0.0435454373119561","No"
"0xb24cc4e1903c4bdbe694a095924b5389ea460e8d","1.2292285169853","No"
"0xb26bdbca9e4cf4e34424ae59279c4608cc2240c3","0.0796055054086277","No"
"0xb320c00011b0eb4eff3c35aeea777c3739b2e711","0.0797722742407413","No"
"0xb4bb1fa9656f7411561afc7404ee07dc4e7bfeb5","0.477880595753667","No"
"0xb4de38d688a91ec1af12b963358f8b3488b098be","0.598850506600503","No"
"0xb50b0b4ecdd6106dde1bd5887cd891b982fb16af","2000.00013954481","No"
"0xb66ae54a3d96095463b083dd70a22dd143a44756","0.536480294251529","No"
"0xb794a2326af05e918267ad90d4dbbf639bc40df5","0.000439343195327586","No"
"0xb8c7d022cd06f5e77e568336fa3cc3b06433299f","13.09577194637","No"
"0xba18b87befb79fa0c67881d1e8300ce835548fa2","0.189463803964308","No"
"0xba1a856f68fa76c205b03b087fd403193c7f6833","0.305531357408076","No"
"0xba4b8fcacf85ab199061ff0cab75b33b72be3be3","19.0038660637929","No"
"0xbb80d5863ed993b0331a71be45e7bfb7235f25ab","0.0239721124237764","No"
"0xbd48dd506e9179a757ae229d04745476ce6c2aad","0.548870913715765","No"
"0xbdaa99322852947ddca0f7c0ed82b66d21d467f1","0.616101484727107","No"
"0xbdff7ad33ba6613ad354890e2ae840bc95c6e188","0.20625489453667","No"
"0xbf5310fae4d7a0c6df0452bcda09aefa2748ad59","0.0108552961915519","No"
"0xc088450bb82c7ae2ed41c534d7f7376fda8aa7e2","0.519668980629993","No"
"0xc16eff92d8de8e4d7ad4be5a316788ab7ca1f538","0.063511724746539","No"
"0xc3777c1127ed2c310c6525c6a37fc0bd2fb580f4","0.00226152003946456","No"
"0xc494a87a34f90c6cbf423776fda3c072edb42a65","0.534920160193931","No"
"0xc7c95363046a31f22f0f525705c7f2affbcd57f2","1061.22821685318","No"
"0xc82d836ca84cab727b5b867108897bbecb136859","2.05852756864935","No"
"0xcaecb4057a38edba6523d2f31aa4ba47703394aa","0.0289474565118587","No"
"0xcb2fc93d56954520ec84799eeb4c0432cd998f21","0.203310651598511","No"
"0xcb35387ead832b94d29c5dcc6d9f6c35e6690ac8","0.019449072343741","No"
"0xcbc49ec62f35ad143bb9f17f2788d43f6ffa1885","0.0151521842676535","No"
"0xcca3240d6f01d33aa4c4f07db4077f3eeba29a45","0.363770493261099","No"
"0xccd1627f19e3c8b943d561a38919961b341ecf54","0.0273643924838112","No"
"0xcd3a39d283cc0a39c1accddb3a5baf2921a472a1","0.15039108266172","No"
"0xcd7c88dedc52b58fe3455f1a4f9c9f077c8f4d86","0.000226152003537868","No"
"0xce3066df90ee06331e38d3cbc253d9abafa8e3cd","9.32479937180014","No"
"0xd090e2dd8fe68f445d274f76b389a6dca5c29b3e","0.025329024447776","No"
"0xd172310d419f145574f1eac455e65674ec97ad95","0.535461368697965","No"
"0xd29d4c20d67c05ca6bcc2eec66928db29a308cc5","0.108100657913056","No"
"0xd353bbf69d0dfb2cd6798dfff40bb31ae565ccc2","0.841214025884915","No"
"0xd3e00ed962152f06dc5da5fe325028ba9f9c20fe","0.0198357666485626","No"
"0xd3e11040ce900a8e22b9b555deea5cb093f6f749","0.379039411822597","No"
"0xd459daafea5028abc468fa94ff451a66485d6553","917.047677594293","No"
"0xd5f80ba7db6c5d97af04b853bcdab8c85a041ec6","0.0228413524037822","No"
"0xd68a5ccde1e5273c79cd40711fe4750122cdd865","808.51760049991","No"
"0xd8595ac2836b7a8040f046e751b42088436b6365","0.29852614879828","No"
"0xd965952823153e5cbc611be87e8322cfc329f056","22.630538723079","No"
"0xd9f943a56ddd5736587db5ac14afb4a7d9d2dac6","7.11949123803173","No"
"0xda936b8221f797afac0584f7d8722e87c94ec2a9","178.013967310832","No"
"0xdb5a91e6f925a22fe995bfb403eacc74dfe34f04","11.2163140429506","No"
"0xdde961eebca0d3a7663d774c75fa30f5545cf8c3","9.36904319202093","No"
"0xdf4f4166d5dc2ea173859fea586f084c63ffd1fd","1.27155105441623","No"
"0xe15553f2b19301849f68d0ea7b145bb19646c727","0.361095590636618","No"
"0xe3d5721b35c03d2632fe0675c259883f99a74cd6","0.0128557092865742","No"
"0xe45da29a0402b351721036c89a51e3f2264af126","1089.12362670223","No"
"0xe4cb3d54c6224b05183f02dd17bf93a041620691","508.46463065307","No"
"0xe8da0c077a329f9739597e1c2b93fb6bcc0b8480","0.00226152003946456","No"
"0xeb3107117fead7de89cd14d463d340a2e6917769","1309.08661567508","No"
"0xebde31cfae760310716bd6c861aa84fb474e7eed","0.945993832745821","No"
"0xef8305e140ac520225daf050e2f71d5fbcc543e7","206.074964763751","No"
"0xf0f225e01cf084d3c246ad595ab60d0d4f5b4c78","1.06611986361251","No"
"0xf10d1406aead0101649a0b95d1891b92d05c75bb","0.242829005956885","No"
"0xf245b8a1618bbac7649d977fc675b7bd99f0d876","0.19980642732307","No"
"0xf251efb1d2f28204b2cd77ff30e9dc7564adfafd","0.479647267303453","No"
"0xf42df5f735c86495fa3ec321741e09a0663d91df","0.0339228005999362","No"
"0xf4996072fca0dd35df152b6c5ce6aef37f813b99","6.90532529024047","No"
"0xf4ddf881f1f2a98a33791ccae1d0a9de9d583490","5.14179196302164","No"
"0xf6dc43ba328affec2afebda472ac6977200da957","0.192237461247837","No"
"0xf85fa2414a0647142c061cbaddb892ea91696ecf","5.8713878645172E-05","No"
"0xfc43f5f9dd45258b3aff31bdbe6561d97e8b71de","15.620651498422","No"
"0xfdb4175aec84582715eeef12ef3e84bbea9419e2","0.101768401800956","No"
"0xffc06fef1f8c21b51cb9bda3fbf103e770416a28","0.00854221019932463","No"
"0x0154d25120ed20a516fe43991702e7463c5a6f6e","0.0102942804492782","No"
"0x01978366287e65337889e4104d3481dd59a2aff5","1794.23577692085","No"
"0x03f2efdcb4bf042edcebe7c2a22c8fcdb7e0af76","2.38983285484583","No"
"0x06bf4a95b25f38c30011dbf16a6d758669f74609","0.328372709812421","No"
"0x072ba6cd4293bc363773bc48f01031d60b445ac1","0.308758193847307","No"
"0x07a73d2eaf948246ffc48740b822c916122eca85","1011.83190207005","No"
"0x08a39ae0b0da06fe824a65fa0a73c3126a82a0ba","9.4513429708301E-05","No"
"0x092fac9f89195e6f63aa74604c1a9e4c1b4b6acf","0.0409335127240449","No"
"0x0f5b2479d1ac2e1b051874b3004a8509c0a97d67","26.1217879578742","No"
"0x0fe97c6461b741f8d3f73af0e07c1802a0945bdb","0.339454158008584","No"
"0x101ef338a0a52f6a4c27c6b7813f7368f58b2608","0.288147948438319","No"
"0x126fe1ada25abdbd0584b60f3e5156807ee18fc9","0.252385636467252","No"
"0x12899e27f9456d32a591717073e3a3e981d11e71","0.110083175682833","No"
"0x12a59989f8f06130bda8d6e936b2045c734f19ac","1.50476525972678","No"
"0x12f1ba0c6d0924c692e2c977c1deb3752cc73503","0.425165767525882","No"
"0x12f537c3e1e9afd3204327282b5c1101dd33fbbb","1.48550904047038","No"
"0x13256a7bcab2de3bd754b8e221f67f0ae0ccdbf8","0.469526019787135","No"
"0x133f54e35a13e03ab4ce8b04c9a1389e85171199","0.193812267430354","No"
